Spool file: JESJCLIN (ID #1, Step: JES2)
//TSTD1BA JOB (A),'NSF D1 GATE A',CLASS=A,MSGCLASS=H,                   JOB  384
//             MSGLEVEL=(1,1),NOTIFY=IBMUSER,
//         USER=IBMUSER,PASSWORD=   GENERATED BY MVSMF
//*
//* M5-2d1 live gates 2.2/2.3 -- ROLE A.
//*
//* TWO REAL ADDRESS SPACES.  Submit TSTD1BA first, wait for its console line
//*   TSTD1B: A HOLDING SOCKET ... -- B MAY RUN NOW
//* then submit TSTD1BB.  A holds ~180 s, polling its OWN readiness, which is
//* B's window.
//*
//* A THIRD PARTY IS REQUIRED: the stimulus driver
//* docs/measurements/m5-2d1-stimulus/d1stim.py, running on the HOST beside
//* the emulator.  It connects to A's port and HOLDS the connection open, so
//* A's listener becomes read-ready -- which is what makes B's "not ready"
//* a refusal rather than an idle listener (the #107 annotation).
//*
//* SUBMIT B ON A's *HOLDING* LINE, NOT ON ITS FIRST READY LINE.  A cannot be
//* ready until after B has swept: a passive child takes a socket-table slot,
//* so a connect before B allocates its own socket would insert a child between
//* A and B and break B's `own - 1` derivation -- silently, because the child
//* is foreign to B too.  The driver therefore fires on B's own SWEEP DONE
//* marker, and A's not-ready polls before that point are the expected reading.
//*
//* B sweeps the WHOLE internal descriptor space (gen<<16)|idx straight into
//* the request, bypassing its own facade table -- the facade cannot NAME a
//* foreign socket, the transport could.  It reports ATTEMPTS as well as hits:
//* "0 hits" alone is a null nobody can read, "0 hits in 128 attempts with A
//* confirmed holding a socket" is evidence.
//*
//* PREREQUISITE:  S NSFS, and TSTD1A (gate 2.1) green first -- a check that
//*                refuses accepted children makes everything here moot.
//*
//A       EXEC PGM=TSTD1B,PARM='A',REGION=8M
//STEPLIB  DD DSN=IBMUSER.NSF370.V0R1M0D.TESTLIB,DISP=SHR
//         DD DSN=NSF.LINKLIB,DISP=SHR
//SYSPRINT DD SYSOUT=*
//SYSTSPRT DD SYSOUT=*
//SYSUDUMP DD SYSOUT=*

Spool file: JESMSGLG (ID #2, Step: JES2)
                                                J E S 2   J O B   L O G
 9.11.39 JOB  384  IEFACTRT A       /TSTD1B  /00:00:00.08/00:03:21.87/00000/TSTD1BA
 9.11.39 JOB  384  IEF404I TSTD1BA - ENDED - TIME=09.11.39
 9.11.39 JOB  384  $HASP395 TSTD1BA  ENDED

Spool file: JESJCL (ID #3, Step: JES2)
    1     //TSTD1BA JOB (A),'NSF D1 GATE A',CLASS=A,MSGCLASS=H,                   JOB  384
          //             MSGLEVEL=(1,1),NOTIFY=IBMUSER,
          //         USER=IBMUSER,PASSWORD=   GENERATED BY MVSMF
          ***
          *** M5-2d1 live gates 2.2/2.3 -- ROLE A.
          ***
          *** TWO REAL ADDRESS SPACES.  Submit TSTD1BA first, wait for its console line
          ***   TSTD1B: A HOLDING SOCKET ... -- B MAY RUN NOW
          *** then submit TSTD1BB.  A holds ~180 s, polling its OWN readiness, which is
          *** B's window.
          ***
          *** A THIRD PARTY IS REQUIRED: the stimulus driver
          *** docs/measurements/m5-2d1-stimulus/d1stim.py, running on the HOST beside
          *** the emulator.  It connects to A's port and HOLDS the connection open, so
          *** A's listener becomes read-ready -- which is what makes B's "not ready"
          *** a refusal rather than an idle listener (the #107 annotation).
          ***
          *** SUBMIT B ON A's *HOLDING* LINE, NOT ON ITS FIRST READY LINE.  A cannot be
          *** ready until after B has swept: a passive child takes a socket-table slot,
          *** so a connect before B allocates its own socket would insert a child between
          *** A and B and break B's `own - 1` derivation -- silently, because the child
          *** is foreign to B too.  The driver therefore fires on B's own SWEEP DONE
          *** marker, and A's not-ready polls before that point are the expected reading.
          ***
          *** B sweeps the WHOLE internal descriptor space (gen<<16)|idx straight into
          *** the request, bypassing its own facade table -- the facade cannot NAME a
          *** foreign socket, the transport could.  It reports ATTEMPTS as well as hits:
          *** "0 hits" alone is a null nobody can read, "0 hits in 128 attempts with A
          *** confirmed holding a socket" is evidence.
          ***
          *** PREREQUISITE:  S NSFS, and TSTD1A (gate 2.1) green first -- a check that
          ***                refuses accepted children makes everything here moot.
          ***
    2     //A       EXEC PGM=TSTD1B,PARM='A',REGION=8M
    3     //STEPLIB  DD DSN=IBMUSER.NSF370.V0R1M0D.TESTLIB,DISP=SHR
    4     //         DD DSN=NSF.LINKLIB,DISP=SHR
    5     //SYSPRINT DD SYSOUT=*
    6     //SYSTSPRT DD SYSOUT=*
    7     //SYSUDUMP DD SYSOUT=*

Spool file: JESYSMSG (ID #4, Step: JES2)
IEF236I ALLOC. FOR TSTD1BA A
IEF237I 251  ALLOCATED TO STEPLIB
IEF237I 251  ALLOCATED TO
IEF237I 180  ALLOCATED TO SYS00018
IEF237I JES2 ALLOCATED TO SYSPRINT
IEF237I JES2 ALLOCATED TO SYSTSPRT
IEF237I JES2 ALLOCATED TO SYSUDUMP
IEF237I JES2 ALLOCATED TO SYS00001
IEF237I DMY  ALLOCATED TO SYS00002
TSTD1B: START ROLE 'A'
TSTD1B: A HOLDING SOCKET (facade 0) -- B MAY RUN NOW
TSTD1B: A POLL 0 RC=0 READY=0
TSTD1B: A POLL 1 RC=0 READY=0
TSTD1B: A POLL 2 RC=0 READY=0
TSTD1B: A POLL 3 RC=0 READY=0
TSTD1B: A POLL 4 RC=0 READY=0
TSTD1B: A POLL 5 RC=0 READY=0
TSTD1B: A POLL 6 RC=0 READY=0
TSTD1B: A POLL 7 RC=0 READY=0
TSTD1B: A POLL 8 RC=1 READY=1
TSTD1B: A POLL 9 RC=1 READY=1
TSTD1B: A POLL 10 RC=1 READY=1
TSTD1B: A POLL 11 RC=1 READY=1
TSTD1B: A POLL 12 RC=1 READY=1
TSTD1B: A POLL 13 RC=1 READY=1
TSTD1B: A POLL 14 RC=1 READY=1
TSTD1B: A POLL 15 RC=1 READY=1
TSTD1B: A POLL 16 RC=1 READY=1
TSTD1B: A POLL 17 RC=1 READY=1
TSTD1B: A POLL 18 RC=1 READY=1
TSTD1B: A POLL 19 RC=1 READY=1
TSTD1B: A POLL 20 RC=1 READY=1
TSTD1B: A POLL 21 RC=1 READY=1
TSTD1B: A POLL 22 RC=1 READY=1
TSTD1B: A POLL 23 RC=1 READY=1
TSTD1B: A POLL 24 RC=1 READY=1
TSTD1B: A POLL 25 RC=1 READY=1
TSTD1B: A POLL 26 RC=1 READY=1
TSTD1B: A POLL 27 RC=1 READY=1
TSTD1B: A POLL 28 RC=1 READY=1
TSTD1B: A POLL 29 RC=1 READY=1
TSTD1B: A POLL 30 RC=1 READY=1
TSTD1B: A POLL 31 RC=1 READY=1
TSTD1B: A POLL 32 RC=1 READY=1
TSTD1B: A POLL 33 RC=1 READY=1
TSTD1B: A POLL 34 RC=1 READY=1
TSTD1B: A POLL 35 RC=1 READY=1
TSTD1B: A POLL 36 RC=1 READY=1
TSTD1B: A POLL 37 RC=1 READY=1
TSTD1B: A POLL 38 RC=1 READY=1
TSTD1B: A POLL 39 RC=1 READY=1
TSTD1B: A POLL 40 RC=1 READY=1
TSTD1B: A POLL 41 RC=1 READY=1
TSTD1B: A POLL 42 RC=1 READY=1
TSTD1B: A POLL 43 RC=1 READY=1
TSTD1B: A POLL 44 RC=1 READY=1
TSTD1B: A POLL 45 RC=1 READY=1
TSTD1B: A POLL 46 RC=1 READY=1
TSTD1B: A POLL 47 RC=1 READY=1
TSTD1B: A POLL 48 RC=1 READY=1
TSTD1B: A POLL 49 RC=1 READY=1
TSTD1B: A POLL 50 RC=1 READY=1
TSTD1B: A POLL 51 RC=1 READY=1
TSTD1B: A POLL 52 RC=1 READY=1
TSTD1B: A POLL 53 RC=1 READY=1
TSTD1B: A POLL 54 RC=1 READY=1
TSTD1B: A POLL 55 RC=1 READY=1
TSTD1B: A POLL 56 RC=1 READY=1
TSTD1B: A POLL 57 RC=1 READY=1
TSTD1B: A POLL 58 RC=1 READY=1
TSTD1B: A POLL 59 RC=1 READY=1
TSTD1B: A POLL 60 RC=1 READY=1
TSTD1B: A POLL 61 RC=1 READY=1
TSTD1B: A POLL 62 RC=1 READY=1
TSTD1B: A POLL 63 RC=1 READY=1
TSTD1B: A POLL 64 RC=1 READY=1
TSTD1B: A POLL 65 RC=1 READY=1
TSTD1B: A POLL 66 RC=1 READY=1
TSTD1B: A POLL 67 RC=1 READY=1
TSTD1B: A POLL 68 RC=1 READY=1
TSTD1B: A POLL 69 RC=1 READY=1
TSTD1B: A POLL 70 RC=1 READY=1
TSTD1B: A POLL 71 RC=1 READY=1
TSTD1B: A POLL 72 RC=1 READY=1
TSTD1B: A POLL 73 RC=1 READY=1
TSTD1B: A POLL 74 RC=1 READY=1
TSTD1B: A POLL 75 RC=1 READY=1
TSTD1B: A POLL 76 RC=1 READY=1
TSTD1B: A POLL 77 RC=1 READY=1
TSTD1B: A POLL 78 RC=1 READY=1
TSTD1B: A POLL 79 RC=1 READY=1
TSTD1B: A POLL 80 RC=1 READY=1
TSTD1B: A POLL 81 RC=1 READY=1
TSTD1B: A POLL 82 RC=1 READY=1
TSTD1B: A POLL 83 RC=1 READY=1
TSTD1B: A POLL 84 RC=1 READY=1
TSTD1B: A POLL 85 RC=1 READY=1
TSTD1B: A POLL 86 RC=1 READY=1
TSTD1B: A POLL 87 RC=1 READY=1
TSTD1B: A POLL 88 RC=1 READY=1
TSTD1B: A POLL 89 RC=1 READY=1
TSTD1B: A DONE
IEF285I   JES2.JOB00384.SO0104                         SYSOUT
IEF142I TSTD1BA A - STEP WAS EXECUTED - COND CODE 0000
IEF285I   IBMUSER.NSF370.V0R1M0D.TESTLIB               KEPT          *--------0
IEF285I   VOL SER NOS= WORK00.
IEF285I   NSF.LINKLIB                                  KEPT          *--------0
IEF285I   VOL SER NOS= WORK00.
IEF285I   UCPUB000                                     KEPT          *--------0
IEF285I   VOL SER NOS= PUB000.
IEF285I   JES2.JOB00384.SO0101                         SYSOUT
IEF285I   JES2.JOB00384.SO0102                         SYSOUT
IEF285I   JES2.JOB00384.SO0103                         SYSOUT
IEF373I STEP /A       / START 26258.0908
IEF374I STEP /A       / STOP  26258.0911 CPU    0MIN 00.07SEC SRB    0MIN 00.01SEC VIRT   676K SYS   212K
**** JOB NAME: TSTD1BA  JOBCARD READ 2026/258 09:08:17 370/148 VS2 R03.8 DEV1 ******************************************************
*                                                                                                                                  *
*  STEP NUMBER:          1  USER CORE:        676K  START TIME:   09:08:17     CPU TIME:    00:00:00.08  ACTIVE TIME:  00:03:08.69 *
*  STEP NAME:     A         SYSTEM CORE:      212K  STOP TIME:    09:11:39     SRB TIME:    00:00:00.01  ALLOC TIME:   09:08:17    *
*  PROGRAM NAME:  TSTD1B    REGION SIZE:     8192K  ELAPSED TIME: 00:03:21.87  TCB TIME:    00:00:00.07  PROGRAM LOAD: 09:08:17    *
*  CONDITION CODE:   00000  PERFORMANCE GROUP: 004                                                                                 *
*                           JES2 CARDS:          0       SERVICE UNITS  PAGES IN/OUT  # SWAPS  PAGES SWAP IN/OUT  VIO PAGES IN/OUT *
*                                                                   92      0 /    0        0           3 /   10          0 /    0 *
*                                                                                                                                  *
*   ADDR/UNIT I/O COUNT  ADDR/UNIT I/O COUNT  ADDR/UNIT I/O COUNT  ADDR/UNIT I/O COUNT  ADDR/UNIT I/O COUNT  ADDR/UNIT I/O COUNT   *
*   251/D3350         0  251/D3350         0  180/D3380         0                                                                  *
************************************************************************************************************************************
IEF375I  JOB /TSTD1BA / START 26258.0908
IEF376I  JOB /TSTD1BA / STOP  26258.0911 CPU    0MIN 00.07SEC SRB    0MIN 00.01SEC

Spool file: SYSPRINT (ID #101, Step: A)
=== nsf370 M5-2d1 live gates 2.2/2.3 (TSTD1B role 'A') ===
  PASS: the client is UNAUTHORISED
  PASS: A: INITAPI across the boundary
  PASS: A: SOCKET across the boundary
  PASS: A: BIND
  PASS: A: LISTEN
  A holding facade socket 0, polling its OWN readiness
  A POLL 8: READY (rc=1) -- the stimulus has ARRIVED
  A polled 90 times: ever-ready=1, ready-at-last-poll=1
  PASS: A: saw its OWN descriptor READY -- the stimulus is in evidence
  PASS: A: still ready at the FINAL poll -- with the acceptq never drained, that brackets both of B's arms
  PASS: A: a second LISTEN on A's OWN socket is refused
  PASS: A: refused EINVAL -- resolved, owned and still listening (not EBADF)
=== TSTD1B: 9/9 passed ===

Spool file: UNK0104 (ID #104, Step: JES2)

